id,index,energy,tempo,roughness,pleasantness,arousal,sensationTags,emotionTags,metaphors,usageExamples,sensationD1 (Complexity),sensationD2 (Continuity),sensationD3 (Roughness),sensationD4 (Duration),emotionD1 (Agitation),emotionD2 (Liveliness),emotionD3 (Strangeness),"metaphorD1 (onoff, nuanced/ongoing, repetitive)",metaphorD2 (natural vs mechanical),UsageD1 (awareness/attentiondemand)
v-09-09-8-11,11,-2,0.769230769,-2.615384615,0.692307692,-2.461538462,"simple,discontinuous,soft,grainy,short","comfortable,calm,natural,familiar,pleasant,boring,predictable","hearbeat,pulsing,tapping,poking","confirmation,get ready,milestone,reminder,battery low,incoming msg,pause,resume",-0.25742,0.0023986,0.23555,-0.1684,-0.49331,-0.30618,-0.00080492,-0.38084,-0.31694,-0.53884
v-09-09-8-20,12,-1,0.538461538,-0.692307692,1.153846154,-0.384615385,"smooth,simple,regular,bumpy,discontinuous,soft,long","lively,pleasant,calm,natural,familiar,comfortable,rhythmic","hearbeat,tapping,animal","one minute left,running out of time,get ready,above intended threshold,below intended threshold,reminder,warning",-0.3394,-0.02395,-0.25087,-0.095908,-0.45887,0.11159,-0.21033,-0.22346,-0.38042,0.013275
v-09-09-8-24,13,0.285714286,-0.571428571,0.071428571,-2,1,"ramping up,dynamic,grainy,smooth transition,complex,long","annoying,predictable,agitating,mechanical,uncomfortable","engine,coming or going","alarm,get ready,warmup",0.32069,0.37229,-0.029442,0.30074,0.37412,-0.32225,-0.04918,0.46933,-0.11775,0.010232
v-09-10-11-55,14,2.230769231,-0.538461538,1.230769231,-1.076923077,1.846153846,"dynamic,discontinuous,rough,ramping up,long,complex","uncomfortable,surprising,annoying,mechanical,urgent,lively","alarm,jumping,sliding,phone","overtime,below intended threshold,above intended threshold,finish,alarm,slow down,warmup,cooldown",0.30143,0.060182,0.0057874,0.22299,0.40956,0.073756,-0.050697,0.02378,0.42235,0.24825
v-09-10-11-58,10,0.5,-2,0.5,0.5,0,"continuous,regular,long,soft,ramping up,changing","natural,boring,predictable,annoying,unpleasant","purring,snoring,animal,coming or going","incoming msg,pause,overtime,slow down,warning",-0.26377,0.3626,-0.23801,0.29357,-0.032187,-0.40865,0.037504,0.32804,-0.1054,-0.16139
v-09-10-12-11,15,2.076923077,2.307692308,2.076923077,-1.692307692,2.230769231,"rough,regular,discontinuous,long,grainy","annoying,angry,uncomfortable,urgent,agitating","alarm,electric shock","overtime,alarm,finish,below intended threshold",-0.088422,-0.21268,0.098593,0.4236,0.47025,-0.020702,0.11842,0.044788,0.43489,0.37761
v-09-10-12-13,16,2.846153846,1.538461538,1.384615385,0.538461538,2.230769231,"rough,bumpy,discontinuous,long,regular","urgent,lively,angry,energetic,rhythmic","alarm,tapping,musical instruments,drums,beep,phone,celebration","running out of time,alarm,overtime,finish,warning,above intended threshold,below intended threshold",-0.089825,-0.26587,-0.048615,0.19161,0.184,0.31322,-0.29882,-0.31661,0.2518,0.3856
v-09-10-12-16,17,2.222222222,0.111111111,0.666666667,0.111111111,2.111111111,"discontinuous,dynamic,regular,grainy","predictable,urgent,annoying,mechanical,familiar","musical instruments,beep","one minute left,running out of time,overtime,finish,alarm,warning,battery low",0.0899,-0.18426,-0.10367,0.22455,0.26127,-0.37847,-0.13893,-0.15748,0.12492,0.19821
v-09-10-12-2,18,-1.583333333,-0.833333333,-1.666666667,1.083333333,-1.083333333,"regular,smooth,discontinuous,bumpy,soft","comfortable,pleasant,boring,predictable,calm","snoring,buzz","speed up,reminder,encouragement,above intended threshold,below intended threshold,start,running out of time,one minute left,finish,overtime,alarm,resume,halfway",-0.24138,-0.16908,-0.38019,-0.12205,-0.46305,-0.31359,-0.0060643,0.27078,-0.058018,0.25365
v-09-10-12-6,19,-1,-2,-1,0.083333333,-1.083333333,"long,flat,simple,regular,discontinuous,smooth,ramping down","boring,predictable,calm,mechanical,sad","snoring,bell,walking,alarm,coming or going","slow down,get ready,below intended threshold,finish",-0.35542,0.021345,-0.11863,0.053346,-0.085769,-0.53171,-0.060418,0.1975,0.26372,-0.071622
v-09-10-12-9,20,1.727272727,1.727272727,1.909090909,-1.363636364,2,"rough,spiky,discontinuous,dynamic,regular","agitating,mechanical,annoying,angry","tapping,alarm,musical instruments,drums,animal","speed up,alarm,reminder,above intended threshold",0.076545,-0.2585,0.0028853,0.17092,0.44701,-0.15086,-0.052454,-0.21545,0.098867,0.24939
v-09-10-3-52,21,1.923076923,1.846153846,0.384615385,1.230769231,0.692307692,"regular,spiky,discontinuous,simple,bumpy","rhythmic,energetic,attention-getting,interesting,lively,pleasant,unique,happy","tapping,morse code,phone,alarm","reminder,get ready,halfway,milestone,encouragement,warning,above intended threshold,below intended threshold,speed up,interval/rep,warmup,one minute left,running out of time,start,alarm,overtime",-0.27698,-0.26402,-0.017706,-0.13358,-0.15419,0.4729,-0.18696,-0.29855,0.19062,0.10942
v-09-10-3-56,22,1.777777778,2.555555556,1.777777778,-0.333333333,2.222222222,"grainy,rough,discontinuous,spiky,short","agitating,mechanical,urgent,annoying,lively,unique",gun,"alarm,finish,one minute left,above intended threshold,incoming msg,running out of time",0.0070744,-0.22892,0.43013,0.045886,0.40113,0.15262,-0.047315,0.17865,-0.12955,0.32972
v-09-10-4-2,0,1.545454545,2,1.272727273,0.727272727,1.727272727,"dynamic,regular,grainy,rough",urgent,"tapping,pulsing","speed up,running out of time,overtime,finish,encouragement,warning,one minute left",0.12365,0.0060209,0.077091,0.43113,0.27237,0.0062303,0.051609,-0.37941,-0.34829,0.30064
v-09-10-4-20,23,-2,-0.909090909,-1.454545455,0.636363636,-2.090909091,"regular,smooth,discontinuous,soft","calm,comfortable,natural,predictable,familiar","hearbeat,pawing,animal,tapping","reminder,battery low,slow down",-0.28156,-0.1474,-0.35709,0.0056615,-0.47072,-0.29799,0.023449,-0.18746,-0.36822,-0.41213
v-09-10-4-23,24,-2.444444444,0.444444444,-1.222222222,0.888888889,-2,"regular,discontinuous,smooth,soft,long","calm,pleasant,familiar,comfortable","hearbeat,tapping,pawing,clock",,-0.27075,-0.071682,-0.35807,0.095613,-0.53656,-0.10765,0.0064701,-0.33472,-0.33955,-0.12945
v-09-10-4-25,25,1,1.666666667,0.444444444,1.444444444,1.555555556,"dynamic,discontinuous,ramping up,spiky,rough,complex","urgent,agitating,comfortable,natural,familiar,interesting,unique","engine,hearbeat,tapping","speed up,running out of time,warmup",0.30444,-0.057895,0.072228,0.10421,-0.086995,0.19482,0.1296,-0.071957,-0.40401,0.21789
v-09-10-4-6,26,0.571428571,0.357142857,0.642857143,0.857142857,0.928571429,"grainy,discontinuous,regular,dynamic,ramping up","interesting,pleasant,energetic,attention-catching,comfortable,happy,surprising,lively","tapping,coming or going,animal","encouragement,one minute left,running out of time,speed up,warning",0.086285,-0.083195,-0.1063,0.31844,-0.24846,0.39803,-0.051414,-0.063145,-0.29423,0.18546
v-09-10-6-16,27,-1.111111111,1.888888889,-0.555555556,-0.222222222,-0.111111111,"regular,discontinuous,dynamic,bumpy,smooth,soft","mechanical,rhythmic","tapping,beep,hearbeat","overtime,speed up,alarm",-0.045545,-0.070426,-0.39777,-0.091901,0.1946,-0.04773,-0.38612,-0.446,-0.23379,0.42012
v-09-10-6-22,28,-1.25,0.416666667,-0.5,0.833333333,0.25,"continuous,grainy,complex,dynamic,smooth,bumpy,soft","boring,predictable,annoying,mechanical,comfortable,pleasant,strange","gun,electric shock,engine,riding","running out of time,overtime,one minute left,alarm,get ready,incoming msg",0.13843,0.35934,-0.24496,-0.13918,-0.070521,-0.29349,0.098393,0.37337,-0.066359,0.18451
